Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/distribution-karaf-0.5.3-Boron-SR3/lock
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-08-23 07:27:54,011 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-southbound-impl 1.3.3-Boron-SR3
2017-08-23 07:27:54,011 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-southbound-api 1.3.3-Boron-SR3
2017-08-23 07:27:54,017 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-library 1.3.3-Boron-SR3
2017-08-23 07:27:54,018 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-aaa-cert 0.4.3-Boron-SR3
2017-08-23 07:27:54,018 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-aaa-encryption-service 0.4.3-Boron-SR3
2017-08-23 07:27:54,071 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-hwvtepsouthbound 1.3.3-Boron-SR3
2017-08-23 07:27:54,072 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-hwvtepsouthbound-api 1.3.3-Boron-SR3
2017-08-23 07:27:54,083 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-netvirt-api 0.3.3-Boron-SR3
2017-08-23 07:27:54,084 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-nsf-model 0.3.3-Boron-SR3
2017-08-23 07:27:54,162 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-nxm-extensions 0.3.3-Boron-SR3
2017-08-23 07:27:54,162 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-southbound 0.3.3-Boron-SR3
2017-08-23 07:27:54,163 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowjava-protocol 0.8.3-Boron-SR3
2017-08-23 07:27:54,276 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-genius-api 0.1.3-Boron-SR3
2017-08-23 07:27:54,277 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-infrautils-counters 1.0.3-Boron-SR3
2017-08-23 07:27:54,382 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-flow-services 0.3.3-Boron-SR3
2017-08-23 07:27:54,383 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-app-config-pusher 0.3.3-Boron-SR3
2017-08-23 07:27:54,393 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-app-topology 0.3.3-Boron-SR3
2017-08-23 07:27:54,406 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-app-forwardingrules-manager 0.3.3-Boron-SR3
2017-08-23 07:27:54,409 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-genius 0.1.3-Boron-SR3
2017-08-23 07:27:54,479 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-infrautils-inject 1.0.3-Boron-SR3
2017-08-23 07:27:54,666 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-restconf 1.4.3-Boron-SR3
2017-08-23 07:27:54,669 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-restconf-noauth 1.4.3-Boron-SR3
2017-08-23 07:27:54,745 | INFO  | all-/opt/odl/etc | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.opendaylight.aaa.federation.cfg
